name,learning_rate,lora_rank,context_length,best_eval_loss,final_eval_loss,total_flops
lora_r8_lr0.0001_ctx128,0.0001,8,128,0.6580016255750382,0.6580016255750382,665202681479168
lora_r8_lr0.0001_ctx512,0.0001,8,512,0.5738634090674551,0.5738634090674551,3433654683074560
lora_r8_lr0.0001_ctx768,0.0001,8,768,0.41204501688480377,0.41204501688480377,4206498640232448
