name,learning_rate,lora_rank,context_length,best_eval_loss,final_eval_loss,total_flops
lora_r2_lr1e-05_ctx512,1e-05,2,512,1.1653479046127744,1.1653479046127744,3430442407198720
lora_r4_lr1e-05_ctx512,1e-05,4,512,1.1152116510521148,1.1152116510521148,3431513165824000
lora_r8_lr1e-05_ctx512,1e-05,8,512,0.9881303347301188,0.9881303347301188,3433654683074560
lora_r2_lr5e-05_ctx512,5e-05,2,512,0.8129178892717273,0.8129178892717273,3430442407198720
lora_r4_lr5e-05_ctx512,5e-05,4,512,0.7456611778713971,0.7456611778713971,3431513165824000
lora_r8_lr5e-05_ctx512,5e-05,8,512,0.6995000518143362,0.6995000518143362,3433654683074560
lora_r2_lr0.0001_ctx512,0.0001,2,512,0.7259904090834107,0.7259904090834107,3430442407198720
lora_r4_lr0.0001_ctx512,0.0001,4,512,0.637537654523879,0.637537654523879,3431513165824000
lora_r8_lr0.0001_ctx512,0.0001,8,512,0.5738634090674551,0.5738634090674551,3433654683074560
